ghg,method,factor
CO2,GWP20 AR4,1
CH4bio,GWP20 AR4,72
CH4fos,GWP20 AR4,72
N2O,GWP20 AR4,289
N2Oind,GWP20 AR4,289

CO2,GWP100 AR4,1
CH4bio,GWP100 AR4,25
CH4fos,GWP100 AR4,25
N2O,GWP100 AR4,298
N2Oind,GWP100 AR4,298

CO2,GWP500 AR4,1
CH4bio,GWP500 AR4,7.6
CH4fos,GWP500 AR4,7.6
N2O,GWP500 AR4,153
N2Oind,GWP500 AR4,153


CO2,GWP20 AR5,1
CH4bio,GWP20 AR5,84
CH4fos,GWP20 AR5,85
N2O,GWP20 AR5,264
N2Oind,GWP20 AR5,264

CO2,GWP100 AR5,1
CH4bio,GWP100 AR5,28
CH4fos,GWP100 AR5,30
N2O,GWP100 AR5,265
N2Oind,GWP100 AR5,265

CO2,GTP20 AR5,1
CH4bio,GTP20 AR5,67
CH4fos,GTP20 AR5,68
N2O,GTP20 AR5,277
N2Oind,GTP20 AR5,277

CO2,GTP50 AR5,1
CH4bio,GTP50 AR5,14
CH4fos,GTP50 AR5,15
N2O,GTP50 AR5,282
N2Oind,GTP50 AR5,282

CO2,GTP100 AR5,1
CH4bio,GTP100 AR5,4
CH4fos,GTP100 AR5,6
N2O,GTP100 AR5,234
N2Oind,GTP100 AR5,234


CO2,GWP20 AR6,1
CH4bio,GWP20 AR6,79.7
CH4fos,GWP20 AR6,82.5
N2O,GWP20 AR6,273
N2Oind,GWP20 AR6,273

CO2,GWP100 AR6,1
CH4bio,GWP100 AR6,27.0
CH4fos,GWP100 AR6,29.8
N2O,GWP100 AR6,273
N2Oind,GWP100 AR6,273

CO2,GWP500 AR6,1
CH4bio,GWP500 AR6,7.2
CH4fos,GWP500 AR6,10.0
N2O,GWP500 AR6,130
N2Oind,GWP500 AR6,130

CO2,GTP50 AR6,1
CH4bio,GTP50 AR6,10.4
CH4fos,GTP50 AR6,13.2
N2O,GTP50 AR6,290
N2Oind,GTP50 AR6,290

CO2,GTP100 AR6,1
CH4bio,GTP100 AR6,6.1
CH4fos,GTP100 AR6,6.1
N2O,GTP100 AR6,233
N2Oind,GTP100 AR6,233
