f_crop,f_prod_system,f_region,yield
Apples,conventional,1011,13240.640199872385
Apples,conventional,111,4723.912117584946
Apples,conventional,1111,19828.018920938543
Apples,conventional,1112,19808.858301827506
Apples,conventional,112,4587.113078
Apples,conventional,1121,19828.01892093854
Apples,conventional,1122,19828.01892093854
Apples,conventional,1123,19828.018920938543
Apples,conventional,1124,17028.897172754416
Apples,conventional,1131,13026.295372840863
Apples,conventional,1211,19828.018920938543
Apples,conventional,1212,19828.018920938546
Apples,conventional,1213,18230.270769002105
Apples,conventional,1214,19828.018920938543
Apples,conventional,1215,19828.018920938543
Apples,conventional,1216,19828.01892093854
Apples,conventional,1221,19828.018920938543
Apples,conventional,1222,19828.018920938543
Apples,conventional,1311,4259.327905626007
Apples,conventional,1321,4401.451973886573
Apples,conventional,1322,9641.426437
Apples,conventional,1331,4301.952336897853
Apples,conventional,1411,4280.774271247981
Apples,conventional,1412,4280.774271
Apples,conventional,1421,4239.038365268101
Apples,conventional,1511,4332.367243063387
Apples,conventional,1512,4239.038365268101
Apples,conventional,1521,4268.511605687619
Apples,conventional,1522,4239.038365268101
Apples,conventional,1611,15042.75392653043
Apples,conventional,1612,4241.149754130341
Apples,conventional,1613,4280.774271247981
Apples,conventional,1614,4321.518359461327
Apples,conventional,1615,4239.038365268101
Apples,conventional,1616,4239.038365268101
Apples,conventional,1617,4220.382131923946
Apples,conventional,1621,4280.774271247981
Apples,conventional,1622,4239.038365268101
Apples,conventional,1623,4280.774271247981
Apples,conventional,1711,3363.183987044425
Apples,conventional,1712,3390.0236823509786
Apples,conventional,1713,3358.862951180284
Apples,conventional,1721,4634.186062925562
Apples,conventional,1722,4126.418490017393
Apples,conventional,1723,4152.180292770271
Apples,conventional,1724,3235.4852156517845
Apples,conventional,1811,1626.6646081147694
Apples,conventional,1812,1291.8703658385707
Apples,conventional,1813,1301.2415319769054
Apples,conventional,1821,1333.6370295803479
Apples,conventional,1911,1223.3585546536447
Apples,conventional,1912,1254.9868785409328
Apples,conventional,1921,2805.7439241165584
Apples,conventional,1922,6554.471672720476
Apples,conventional,2011,1036.9236659575245
Apples,conventional,2012,1035.7917199370406
Apples,conventional,2019,1033.4962926708565
Apples,conventional,2111,5757.7120020434495
Apples,conventional,2121,5790.270557675216
Apples,conventional,2122,4130.154229
Apples,conventional,2211,5196.589282386538
Apples,conventional,2212,5206.210250498105
Apples,conventional,2221,5353.894010703898
Apples,conventional,2311,1575.6032261819576
Apples,conventional,2312,1570.662014859279
Apples,conventional,2319,1569.7116333160118
Apples,conventional,2331,2661.863037432633
Apples,conventional,2411,2703.392257377576
Apples,conventional,2412,2703.392257377576
Apples,conventional,2413,2703.392257377576
Apples,conventional,2414,2708.2883212314096
Apples,conventional,2415,2702.5476485446557
Apples,conventional,2419,2703.392257377576
Apples,conventional,2511,7818.881045334977
Apples,conventional,2512,7820.732503489478
Apples,conventional,2519,7807.931698749106
Apples,conventional,2521,7263.249522359723
Apples,conventional,311,6404.046311531377
Apples,conventional,312,6587.847409757796
Apples,conventional,321,5985.0860144898925
Apples,conventional,322,6085.3594487598175
Apples,conventional,411,2240.5569541458713
Apples,conventional,421,2527.7911771198133
Apples,conventional,422,2268.4439307813095
Apples,conventional,431,2317.931267763567
Apples,conventional,511,19520.861126211334
Apples,conventional,512,19471.923528164545
Apples,conventional,513,19575.35932527027
Apples,conventional,514,19575.35932527027
Apples,conventional,515,19024.16907381761
Apples,conventional,521,16321.240630079372
Apples,conventional,611,23800.601312543924
Apples,conventional,612,23085.51778478096
Apples,conventional,621,13216.098752906635
Apples,conventional,622,21126.868351282064
Apples,conventional,711,5879.909973927025
Apples,conventional,731,11943.638538370144
Apples,conventional,811,2174.215112028833
Apples,conventional,812,2157.259466
Apples,conventional,813,2204.792091031161
Apples,conventional,814,2171.5922884689817
Apples,conventional,821,7761.302655657342
Apples,conventional,831,5810.410662929165
Apples,conventional,911,1762.4802848226216
Apples,conventional,912,1762.4802848226216
Apples,conventional,913,1762.4802848226216
Apples,organic,1011,5497.474028814285
Apples,organic,111,1961.3541179885415
Apples,organic,1111,8232.533881688625
Apples,organic,1112,8224.578450202773
Apples,organic,112,1904.5555678359515
Apples,organic,1121,8232.533881688623
Apples,organic,1122,8232.533881688625
Apples,organic,1123,8232.533881688625
Apples,organic,1124,7070.346942
Apples,organic,1131,5408.478700640662
Apples,organic,1211,8232.533881688625
Apples,organic,1212,8232.533881688625
Apples,organic,1213,7569.153649519697
Apples,organic,1214,8232.533881688625
Apples,organic,1215,8232.533881688625
Apples,organic,1216,8232.533881688625
Apples,organic,1221,8232.533881688625
Apples,organic,1222,8232.533881688623
Apples,organic,1311,1768.4601490499376
Apples,organic,1321,1827.4696351727778
Apples,organic,1322,4003.0912885701896
Apples,organic,1331,1786.1576848467491
Apples,organic,1411,1777.3646156194918
Apples,organic,1412,1777.3646156194916
Apples,organic,1421,1760.0359928542844
Apples,organic,1511,1798.7858625035565
Apples,organic,1512,1760.0359928542844
Apples,organic,1521,1772.2731937226276
Apples,organic,1522,1760.0359928542844
Apples,organic,1611,6245.706233580924
Apples,organic,1612,1760.9126351661116
Apples,organic,1613,1777.3646156194916
Apples,organic,1614,1794.2814386280004
Apples,organic,1615,1760.0359928542844
Apples,organic,1616,1760.0359928542844
Apples,organic,1617,1752.2899808233874
Apples,organic,1621,1777.3646156194916
Apples,organic,1622,1760.0359928542844
Apples,organic,1623,1777.3646156194916
Apples,organic,1711,1396.3838865645637
Apples,organic,1712,1407.5276474146235
Apples,organic,1713,1394.589805456543
Apples,organic,1721,1924.1001296804316
Apples,organic,1722,1713.2765590222982
Apples,organic,1723,1723.9727821226545
Apples,organic,1724,1343.3637403597525
Apples,organic,1811,675.3862578932171
Apples,organic,1812,536.3806944063626
Apples,organic,1813,540.2715744
Apples,organic,1821,553.7220877018962
Apples,organic,1911,507.93479624958104
Apples,organic,1912,521.0667812986853
Apples,organic,1921,1164.9364472937584
Apples,organic,1922,2721.3969452721044
Apples,organic,2011,430.52759061599835
Apples,organic,2012,430.0576100292825
Apples,organic,2019,429.1045555250901
Apples,organic,2111,2390.584723911706
Apples,organic,2121,2404.102938386189
Apples,organic,2122,1714.8276265014051
Apples,organic,2211,2157.608256631729
Apples,organic,2212,2161.602853684967
Apples,organic,2221,2222.920707
Apples,organic,2311,654.1857255312167
Apples,organic,2312,652.1341494361598
Apples,organic,2319,651.7395538748646
Apples,organic,2331,1105.197535439989
Apples,organic,2411,1122.4403427844888
