cols_as_filter: f_feed_par,,,,,,,,,,,,,,
f_feed,f_species,f_animal,GE,ASH,N,P,K,ME,AAT,PBV,DE,fat,NE,AME
"ley silage, 1st cut",,,17.3169484,7.55,2.424,0.28,2.425,,,,,,,
"ley silage, regrowth",,,17.150216,7.8,2.128,0.27,2.34,,,,,,,
other silage,,,16.7897644,8.8,1.544,0.21,2.35,,,,,,,
hay,,,17.1602576,6.2,1.496,0.21,1.81,,,,,,,
maize silage,,,17.6573168,3.6,1.088,0.17,1.03,,,,,,,
grazing,,,17.41143707,6.566666667,2.246666667,0.27,2.34,,,,,,,
wheat,,,18.2100232,1.8,1.936,0.345,0.525,,,,,,,
barley,,,18.089524,2.7,1.904,0.375,0.58,,,,,,,
oats,,,18.6602216,3.2,1.768,0.365,0.54,,,,,,,
triticale,,,18.2284328,2.05,1.864,0.38,0.58,,,,,,,
rye,,,17.924256,2.05,1.624,0.33,0.555,,,,,,,
maize,,,18.3899352,1.85,1.64,0.34,0.465,,,,,,,
peas,,,18.4782176,3.4,3.72,0.445,1.155,,,,,,,
broad beans,,,18.7372072,4,4.808,0.615,1.375,,,,,,,
rapeseed,,,27.903096,4.65,3.336,0.81,0.91,,,,,,,
linseed,,,26.501456,3.9,3.736,0.57,0.895,,,,,,,
vegetable oils,,,39.3296,0,0,0,0,,,,,,,
straw,,,16.9276272,6.6,1.104,0.26,1.68,,,,,,,
soybeans,,,22.965976,5,6.4,0.63,1.9,,,,,,,
soybean meal,,,19.589488,7.15,8.208,0.715,2.35,,,,,,,
soybean protein concentrate,,,20.5605944,7.35,9.288,0.79,2.465,,,,,,,
rapeseed meal,,,19.4920008,7.7,6.152,1.245,1.55,,,,,,,
rapeseed cake,,,21.972276,6.75,5.168,1.15,1.325,,,,,,,
sunflower seed meal,,,19.083224,7.75,6.664,1.305,1.75,,,,,,,
palm kernel expeller,,,19.5815384,4.5,2.536,0.645,0.775,,,,,,,
luzern meal,,,16.9711408,11.7,2.928,0.27,2.56,,,,,,,
wheat bran,,,18.194124,5.9,2.64,1.195,1.35,,,,,,,
"wheat bran, fine",,,18.47236,3.3,2.616,0.815,0.96,,,,,,,
oat hulls,,,16.8456208,5,0.416,0.44,0.6,,,,,,,
oat bran,,,17.3422616,5.5,1.008,0.77,0,,,,,,,
rye bran,,,18.340564,4.5,2.56,1.11,1.6,,,,,,,
"wheat distillers grain, dry",,,19.6597792,4.05,5.28,0.88,1.165,,,,,,,
"wheat distillers grain, wet",,,18.8602168,6.8,4.48,1.09,0,,,,,,,
barley brewers grain,,,19.848896,4.3,3.984,0.56,0.195,,,,,,,
maize gluten meal,,,22.9007056,1.95,10.792,0.485,0.325,,,,,,,
sugar beet molasses,,,16.1615368,11.9,2.208,0.03,3.65,,,,,,,
sugar beet pulp,,,17.334312,7.15,1.448,0.1,0.485,,,,,,,
whey,,,16.46404,9.3,1.88,0.76,2.355,,,,,,,
whey powder,,,16.9753248,8.6,2.048,0.68,2.1,,,,,,,
potatoe protein,,,23.055932,2.8,13.48,0.435,0.815,,,,,,,
potatoe offals,,,17.035156,5.5,1.44,0.23,2.2,,,,,,,
fish meal,,,22.254696,13.55,12.112,2.35,1.195,,,,,,,
minerals,,,0,100,,,,,,,,,,
,,,,,,,,,,,,,,
"ley silage, 1st cut",cattle,,,,,,,11.3,72,26.5,13.35,20,,
"ley silage, regrowth",cattle,,,,,,,10.1,69,14,11.9,20,,
other silage,cattle,,,,,,,8.5,,,10.75,22.5,,
hay,cattle,,,,,,,9.1,66,-19,11.8,20,,
maize silage,cattle,,,,,,,11,,,12.3,30,,
grazing,cattle,,,,,,,9.941666667,74.33333333,12.25,12.4,20,,
wheat,cattle,,,,,,,14.1,95,-33,16,25,,
