f_feed,f_species,f_animal,feed_par_DE,feed_par_E,feed_par_fat
"ley silage, 1st cut",horses,,13.35,11.3,20
"ley silage, regrowth",horses,,11.9,10.1,20
other silage,horses,,10.75,8.5,22.5
hay,horses,,11.8,9.1,20
maize silage,horses,,12.3,11,30
grazing,horses,,12.4,9.941666667,20
wheat,horses,,16,14.1,25
barley,horses,,15,13.2,27
oats,horses,,13.3,11.7,61
triticale,horses,,15.8,14,26
rye,horses,,15.8,13.9,20
maize,horses,,14.5,12.8,40
peas,horses,,16,13.8,17
broad beans,horses,,12.6,13.3,14
rapeseed,horses,,22.1,22.1,460
linseed,horses,,20.8,20.1,380
vegetable oils,horses,,36.6,36.6,1000
straw,horses,,7.6,6.6,20
soybeans,horses,,18.4,16.4,180
soybean meal,horses,,17.8,14.6,10
soybean protein concentrate,horses,,,,
rapeseed meal,horses,,14.6,12.2,46
sunflower seed meal,horses,,14.1,11.4,10
palm kernel expeller,horses,,15,13.4,97
luzern meal,horses,,10.7,8.5,27
wheat bran,horses,,12.7,11,45
"wheat bran, fine",horses,,15.62761656,13.3,27
oat hulls,horses,,6.2,5.2,20
oat bran,horses,,8.4,7.2,32
rye bran,horses,,13.2,11.6,40
"wheat distillers grain, dry",horses,,15.7,13.3,45
"wheat distillers grain, wet",horses,,,,
barley brewers grain,horses,,13.6,11.6,80
maize gluten meal,horses,,19.6,16,24
sugar beet molasses,horses,,14.1,12.4,0
sugar beet pulp,horses,,14.7,12.3,32
whey,horses,,15.1,13.6,10
whey powder,horses,,,,
potatoe protein,horses,,19.7,15.5,33
fish meal,horses,,,,
minerals,horses,,0,0,0
