f_feed,f_species,f_animal,feed_par_AME
"ley silage, 1st cut",poultry,,
"ley silage, regrowth",poultry,,
other silage,poultry,,
hay,poultry,,
maize silage,poultry,,
grazing,poultry,,
wheat,poultry,,14.71264368
barley,poultry,,13.56321839
oats,poultry,,12.29885057
triticale,poultry,,14.60674157
rye,poultry,,12.87356322
maize,poultry,,15.86206897
peas,poultry,,12.64367816
broad beans,poultry,,
rapeseed,poultry,,16.8
linseed,poultry,,
vegetable oils,poultry,,38.08080808
straw,poultry,,
soybeans,poultry,,16
soybean meal,poultry,,10.45977011
soybean protein concentrate,poultry,,
rapeseed meal,poultry,,8.444444444
sunflower seed meal,poultry,,8.6
palm kernel expeller,poultry,,
luzern meal,poultry,,
wheat bran,poultry,,7.816091954
"wheat bran, fine",poultry,,14.02298851
oat hulls,poultry,,
oat bran,poultry,,
"wheat distillers grain, dry",poultry,,
"wheat distillers grain, wet",poultry,,
barley brewers grain,poultry,,
maize gluten meal,poultry,,16.32183908
sugar beet molasses,poultry,,
sugar beet pulp,poultry,,
whey,poultry,,
whey powder,poultry,,
potatoe protein,poultry,,16
fish meal,poultry,,13.69565217
minerals,poultry,,0
