cols_as_filter: f_feed,,,,,,,,,,,,,,,,,,
f_breed,f_animal,hay,grazing,oats,barley,wheat,oat bran,oat hulls,"wheat bran, fine",wheat bran,vegetable oils,sugar beet pulp,sugar beet molasses,,potatoe protein,luzern meal,,minerals
ponies and Icelandic horses,low-performing horses,66,33,0.23,0.02,0.08,0.01,0.15,0.00,0.19,0.02,0.12,0.05,,0.00,0.10,,0.04
ponies and Icelandic horses,medium-performing horses,82,16,0.46,0.05,0.17,0.01,0.29,0.00,0.37,0.04,0.23,0.10,,0.00,0.19,,0.07
ponies and Icelandic horses,broodmares,62,31,1.63,0.17,0.58,0.04,1.02,0.00,1.31,0.14,0.82,0.36,,0.00,0.67,,0.26
ponies and Icelandic horses,young horses,61,31,1.86,0.19,0.67,0.05,1.17,0.01,1.49,0.16,0.94,0.41,,0.00,0.76,,0.30
cold blooded horses,low-performing horses,66,33,0.23,0.02,0.08,0.01,0.15,0.00,0.19,0.02,0.12,0.05,,0.00,0.10,,0.04
cold blooded horses,medium-performing horses,82,16,0.46,0.05,0.17,0.01,0.29,0.00,0.37,0.04,0.23,0.10,,0.00,0.19,,0.07
cold blooded horses,broodmares,62,31,1.63,0.17,0.58,0.04,1.02,0.00,1.31,0.14,0.82,0.36,,0.00,0.67,,0.26
cold blooded horses,young horses,65,32,0.70,0.07,0.25,0.02,0.44,0.00,0.56,0.06,0.35,0.15,,0.00,0.29,,0.11
riding horses,low-performing horses,66,33,0.23,0.02,0.08,0.01,0.15,0.00,0.19,0.02,0.12,0.05,,0.00,0.10,,0.04
riding horses,medium-performing horses,80,16,0.93,0.10,0.33,0.02,0.58,0.00,0.75,0.08,0.47,0.21,,0.00,0.38,,0.15
riding horses,broodmares,62,31,1.63,0.17,0.58,0.04,1.02,0.00,1.31,0.14,0.82,0.36,,0.00,0.67,,0.26
riding horses,young horses,63,32,1.16,0.12,0.42,0.03,0.73,0.00,0.93,0.10,0.59,0.26,,0.00,0.48,,0.19
trotters and racehorses,low-performing horses,63,31,1.39,0.14,0.50,0.04,0.87,0.00,1.12,0.12,0.70,0.31,,0.00,0.57,,0.22
trotters and racehorses,medium-performing horses,74,15,2.55,0.26,0.92,0.06,1.60,0.01,2.05,0.22,1.29,0.57,,0.01,1.05,,0.41
trotters and racehorses,broodmares,60,30,2.32,0.24,0.83,0.06,1.46,0.01,1.87,0.20,1.17,0.51,,0.01,0.95,,0.37
trotters and racehorses,young horses,59,29,2.79,0.29,1.00,0.07,1.75,0.01,2.24,0.24,1.41,0.62,,0.01,1.14,,0.45
