cols_as_filter: f_operation,,,,,,,,,,,,,,,,,,,,,
f_crop,f_prod_system,harrowing,rolling,cultivation,ploughing,trimming,ridging,topping,minreal fert,manure appl,spraying,seeding,"seeding, combi","seeding, beets","seeding, spec",harvest,mowing,ensiling,"transport, grain","transport, straw","transport, general"
"Wheat, winter",conventional,2,0.5,0.5,1,0,0,0,1.5,1,1.75,1,0,0,0,1,0,0,1,1,0
"Wheat, spring",conventional,2,0.5,0.5,1,0,0,0,1.5,1,1.75,0,1,0,0,1,0,0,1,1,0
Rye,conventional,2,0.5,0.5,1,0,0,0,1,1,1.25,0,1,0,0,1,0,0,1,1,0
"Barley, winter",conventional,2,0.5,0.5,1,0,0,0,2,1,1.75,1,0,0,0,1,0,0,1,1,0
"Barley, spring",conventional,2,0.5,0.5,1,0,0,0,1,1,1.75,0,1,0,0,1,0,0,1,1,0
Oats,conventional,2,0.5,0.5,1,0,0,0,1,1,1.25,0,1,0,0,1,0,0,1,1,0
"Triticale, winter",conventional,2,0.5,0.5,1,0,0,0,1,1,1.25,0,1,0,0,1,0,0,1,1,0
"Triticale, spring",conventional,2,0.5,0.5,1,0,0,0,1,1,1.25,0,1,0,0,1,0,0,1,1,0
Maize (corn),conventional,2,0.5,0.5,1,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,1
Mixed cereals,conventional,1,0.5,0.5,1,0,1,0,1,1,1.25,0,1,0,0,1,0,0,1,1,0
"Peas, dry",conventional,2,0.5,0.5,1,0,0,0,1,1,1.25,0,1,0,0,1,0,0,0,0,1
"Peas, green",conventional,1,1,1,1,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,1
"Broad beans and horse beans, dry",conventional,2,0.5,0.5,1,0,0,0,1,1,1.25,0,1,0,0,1,0,0,0,0,1
"Beans, dry",conventional,2,0.5,0.5,1,0,0,0,1,1,1.25,0,1,0,0,1,0,0,0,0,1
"Rapeseed, winter",conventional,2,0.5,0.5,1,0,0,0,1,1,1.25,0,1,0,0,1,0,0,0,0,1
"Rapeseed, spring",conventional,2,0.5,0.5,1,0,0,0,1,1,1.25,0,1,0,0,1,0,0,0,0,1
"Potatoes, table",conventional,1,0,2,1,2,1,0,2,1,2,0,0,0,1,1,0,0,0,0,1
"Potatoes, starch",conventional,2,0,2,1,2,0,0,2,1,2,0,0,0,1,1,0,0,0,0,1
Sugar beet,conventional,2,0.5,0.5,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
Ley for seed,conventional,1,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1
Ley for fodder,conventional,0,0,0,0,0,0,0,2,1,1,0.3,0,0,0,0,2,2,0,0,0
Ley for grazing,conventional,0,0,0,0,2,0,0,2,1,0,0.1,0,0,0,0,0,0,0,0,0
Maize for forage and silage,conventional,1,0.5,0.5,1,0,0,0,1,1,1.25,0,0,1,0,0,1,1,0,0,0
Cereals for fodder,conventional,1,0.5,0.5,1,0,0,0,1,1,1.25,0,1,0,0,0,1,1,0,0,0
