f_region,GDD5
111,1702.0901111609608
112,1645.642290431893
311,1616.915403224631
312,1605.4857811115323
321,1669.1504564430622
322,1602.3242940759135
411,1677.5805796748832
421,1726.5622185169411
422,1678.4468318751324
431,1673.0447092499016
511,1564.7648246540164
512,1649.072830035327
513,1579.4599707500815
514,1640.0588744987786
515,1717.4809586594897
521,1637.5421136240086
611,1494.8504051206846
612,1507.674800784886
621,1586.5517838916317
622,1546.0729239841876
711,1604.5721577656757
731,1662.0976965169896
811,1792.5631327535825
812,1799.3798657678917
813,1725.8485359739575
814,1701.5399500139358
821,1734.1305208377933
831,1660.3136407572754
911,1813.318462299241
912,1779.2410034760803
913,1782.9610045179318
1011,1780.5757715760656
1111,1770.209135972084
1112,1739.3223561656562
1121,1812.5644289745667
1122,1771.356176653064
1123,1818.1961350711026
1124,1745.573969550579
1131,1670.1319573793248
1211,1873.6044376468308
1212,1838.4113575576114
1213,1821.8652958197376
1214,1849.3737074862397
1215,1755.5225465980627
1216,1817.7938118051027
1221,1721.3523387439036
1222,1832.603566712556
1311,1746.5619493696115
1321,1755.066610525846
1322,1631.4980196329657
1331,1742.7297339355748
1411,1713.6792414110182
1412,1707.24669763234
1421,1721.4192248879094
1511,1545.4760009299873
1512,1635.451534525206
1521,1676.1861325247353
1522,1620.2933270230342
1611,1474.507441126275
1612,1486.9785369422093
1613,1519.7591085009208
1614,1531.5598711121402
1615,1569.3564980783515
1616,1564.2238530882057
1617,1537.384736326138
1621,1626.183942137675
1622,1615.329897821017
1623,1610.9132648740597
1711,1525.41143445504
1712,1498.622495444318
1713,1437.3448900167036
1721,1525.160808533391
1722,1577.1947780203784
1723,1365.6801795770862
1724,1185.0201377406431
1811,1539.61645771735
1812,1590.8002290508189
1813,1469.5860397627362
1821,1596.8104395943117
1911,1639.9336008169769
1912,1531.0632732630454
1921,1601.6776139675712
1922,1574.2612475531569
2011,1417.2397981264335
2012,1211.633100791177
2019,880.7488016992114
2111,1301.76810561916
2121,1456.683137349026
2122,1356.7754481502477
2211,1136.3518384511751
2212,1224.9958370942263
2221,1220.2500634309852
2311,1015.955864808477
2312,1053.8771542876584
2319,766.6504443521209
2331,1072.3826538836724
2411,1198.0273924157239
2412,1206.5292765594595
2413,1144.9902242533185
2414,1096.0553281272455
2415,979.9376567020499
2419,648.6406027615776
2511,1092.16249706643
2512,1073.9157722267425
2519,628.1548049270982
2521,944.9270779433098
