f_region,f_land_use,share_org_soil
111,cropland,0.795314852
111,semi-natural grasslands,0.714381431
321,cropland,6.29744261
321,semi-natural grasslands,4.536894433
112,cropland,3.834497126
112,semi-natural grasslands,3.997705189
312,cropland,3.68693373
312,semi-natural grasslands,2.929644621
322,cropland,7.803664816
322,semi-natural grasslands,6.977578624
431,cropland,1.314997786
431,semi-natural grasslands,13.11312603
311,cropland,2.905526554
311,semi-natural grasslands,1.449365948
421,cropland,2.944172809
421,semi-natural grasslands,19.45180693
1911,cropland,1.710486401
1911,semi-natural grasslands,3.318489053
1921,cropland,4.006624447
1921,semi-natural grasslands,7.939070534
1922,cropland,4.131195362
1922,semi-natural grasslands,2.368338829
2121,cropland,2.801168585
2121,semi-natural grasslands,8.304447873
411,cropland,1.25370772
411,semi-natural grasslands,16.00753066
422,cropland,3.593312788
422,semi-natural grasslands,38.48223518
521,cropland,5.66694837
521,semi-natural grasslands,19.88170867
1811,cropland,4.617537869
1811,semi-natural grasslands,23.45763251
511,cropland,4.472615196
511,semi-natural grasslands,13.88146915
513,cropland,6.396179247
513,semi-natural grasslands,15.44624831
514,cropland,4.41640948
514,semi-natural grasslands,12.63783953
512,cropland,6.45200507
512,semi-natural grasslands,23.10672551
515,cropland,6.624614221
515,semi-natural grasslands,15.44624831
821,cropland,13.98840062
821,semi-natural grasslands,17.87331868
612,cropland,7.58832257
612,semi-natural grasslands,4.525201647
814,cropland,4.522075367
814,semi-natural grasslands,2.349869891
622,cropland,7.799902644
622,semi-natural grasslands,4.479680769
611,cropland,3.952161522
611,semi-natural grasslands,1.873696794
1322,cropland,10.12524746
1322,semi-natural grasslands,5.541295734
1511,cropland,1.654240526
1511,semi-natural grasslands,3.38037098
621,cropland,21.87594977
621,semi-natural grasslands,10.23455433
1611,cropland,9.358672579
1611,semi-natural grasslands,10.43235522
1614,cropland,3.393629534
1614,semi-natural grasslands,5.361620801
1612,cropland,3.864901192
1612,semi-natural grasslands,7.844480804
831,cropland,9.810492109
831,semi-natural grasslands,8.465790581
711,cropland,19.79494456
711,semi-natural grasslands,13.85479653
731,cropland,11.23387675
731,semi-natural grasslands,15.46724019
1131,cropland,11.99141768
1131,semi-natural grasslands,17.6381212
812,cropland,11.72571923
812,semi-natural grasslands,7.339206969
813,cropland,3.582858652
813,semi-natural grasslands,1.467841394
811,cropland,4.069455799
811,semi-natural grasslands,2.119578699
1011,cropland,1.333480319
1011,semi-natural grasslands,4.936536748
911,cropland,9.1
911,semi-natural grasslands,2.2
912,cropland,9.1
912,semi-natural grasslands,2.2
913,cropland,9.1
913,semi-natural grasslands,2.2
1112,cropland,2.277505532
1112,semi-natural grasslands,10.67458175
1123,cropland,3.197854518
1123,semi-natural grasslands,15.21087723
1124,cropland,2.476457064
1124,semi-natural grasslands,6.184970337
1215,cropland,1.401799241
1215,semi-natural grasslands,6.654758788
1216,cropland,2.765712015
1216,semi-natural grasslands,15.21087723
1214,cropland,1.967910473
1214,semi-natural grasslands,10.64761406
1222,cropland,2.765712015
1222,semi-natural grasslands,15.21087723
1321,cropland,3.93019139
1321,semi-natural grasslands,3.0607635
1213,cropland,1.860569901
1213,semi-natural grasslands,7.605438615
1111,cropland,3.528667054
1111,semi-natural grasslands,15.21087723
1121,cropland,2.495886453
1121,semi-natural grasslands,11.83068229
1221,cropland,1.598927259
1221,semi-natural grasslands,5.6040074
1211,cropland,3.935820945
1211,semi-natural grasslands,17.74602343
1122,cropland,2.62388063
1122,semi-natural grasslands,10.64761406
1212,cropland,2.765712015
1212,semi-natural grasslands,13.30951758
1311,cropland,3.408058889
1311,semi-natural grasslands,2.277256053
1331,cropland,5.373388448
1331,semi-natural grasslands,4.244746055
1521,cropland,2.023581732
1521,semi-natural grasslands,3.023859448
1621,cropland,1.638411269
1621,semi-natural grasslands,2.941680302
1622,cropland,3.843964901
1622,semi-natural grasslands,6.723840689
1613,cropland,3.028578407
1613,semi-natural grasslands,5.883360603
1623,cropland,4.16429531
1623,semi-natural grasslands,7.844480804
1617,cropland,2.327627256
1617,semi-natural grasslands,7.219521079
1615,cropland,4.75919464
1615,semi-natural grasslands,9.413376965
1421,cropland,2.437636279
1421,semi-natural grasslands,4.278807711
1616,cropland,3.56939598
1616,semi-natural grasslands,7.844480804
1512,cropland,4.75919464
1512,semi-natural grasslands,15.68896161
1721,cropland,1.383875661
1721,semi-natural grasslands,7.245169906
1722,cropland,2.022255397
1722,semi-natural grasslands,13.4663687
1411,cropland,2.855516784
1411,semi-natural grasslands,6.723840689
1522,cropland,2.498577186
1522,semi-natural grasslands,5.883360603
1712,cropland,0.345197885
1712,semi-natural grasslands,2.26543465
1412,cropland,3.331436248
1412,semi-natural grasslands,7.844480804
1723,cropland,2.879784303
1723,semi-natural grasslands,20.0386215
1711,cropland,0.186160494
1711,semi-natural grasslands,4.76270167
1713,cropland,0.076022853
1713,semi-natural grasslands,2.976688544
1724,cropland,0.100226992
1724,semi-natural grasslands,1.091173122
1813,cropland,4.896932856
1813,semi-natural grasslands,21.9046814
2012,cropland,0.138532165
2012,semi-natural grasslands,0.142339356
1812,cropland,4.505765422
1812,semi-natural grasslands,25.01956417
1821,cropland,8.644973003
1821,semi-natural grasslands,31.66044665
1912,cropland,0.961019428
1912,semi-natural grasslands,1.935451192
2011,cropland,0.066178125
2011,semi-natural grasslands,0.295692397
2111,cropland,2.564906076
2111,semi-natural grasslands,8.752514711
2122,cropland,3.398256023
2122,semi-natural grasslands,9.623070344
2331,cropland,1.667754001
2331,semi-natural grasslands,1.937906594
2019,cropland,0
2019,semi-natural grasslands,0
2221,cropland,1.99404812
2221,semi-natural grasslands,15.66220186
2211,cropland,0
2211,semi-natural grasslands,0
2212,cropland,0
2212,semi-natural grasslands,0
2312,cropland,0
2312,semi-natural grasslands,0
2311,cropland,0
2311,semi-natural grasslands,0
2414,cropland,0.827670171
2414,semi-natural grasslands,0
2415,cropland,1.218422027
2415,semi-natural grasslands,0
2319,cropland,0
2319,semi-natural grasslands,0
2419,cropland,1.836409607
2419,semi-natural grasslands,0
2521,cropland,1.638697688
2521,semi-natural grasslands,0
2411,cropland,1.512337324
2411,semi-natural grasslands,0
2412,cropland,3.213716812
2412,semi-natural grasslands,0
2413,cropland,3.213716812
2413,semi-natural grasslands,0
2511,cropland,1.641351857
2511,semi-natural grasslands,0
2519,cropland,1.928787794
2519,semi-natural grasslands,0
2512,cropland,1.269609763
2512,semi-natural grasslands,0
