f_region,soil_pH,soil_OM,soil_clay,soil_silt,soil_sand,soil_P_AL,soil_K_AL
111,6.3,3.79,35,41,23,71.5,179
112,6.3,4.17,27,34,39,66.1,151
311,6.7,3.95,38,45,16,86.3,191
312,6.6,4.2,28,35,37,78.3,160
321,6.7,3.68,46,39,15,76.9,250
322,6.7,4.91,20,28,53,72.4,119
411,6.2,3.59,29,49,22,58.3,138
421,6.3,4.11,35,47,17,61.3,173
422,6.5,3.5,47,39,15,65.5,241
431,6.1,3.82,36,44,20,50.9,160
511,6.8,3.38,15,38,47,75.1,85
512,6.5,3.85,26,37,37,63,129
513,7.9,3.2,20,34,46,128,162
514,7.1,3.66,30,38,31,86.3,162
515,6.4,4.41,46,34,20,72.4,204
521,6.2,4.12,20,44,35,49.3,108
611,6,4.64,6,28,66,60.6,57
612,6.1,3.83,14,33,54,63.2,103
621,6,5.37,6,33,61,69,53
622,6,5.86,8,35,58,73,81
711,6.2,6.24,8,44,48,89.7,98
731,6,5.35,6,34,60,108.4,76
811,6.8,4.43,11,32,57,126.1,126
812,7.4,5.06,8,22,70,125.5,99
813,6.4,4.61,9,32,59,102.5,108
814,6.1,4.93,11,40,49,87.6,96
821,6.1,4.69,33,36,31,53.2,161
831,6.1,5.3,6,36,58,90.1,80
911,7.9,4.62,13,28,60,126.6,145
912,7.8,4.28,16,31,53,99.7,127
913,7.8,4.94,12,26,62,114.2,134
1011,6.4,4.29,10,32,58,156.5,125
1111,7,3.2,7,18,75,186.6,103
1112,6.4,4.55,8,35,57,129.9,103
1121,7.1,3.41,15,30,55,169.5,123
1122,6.5,4.23,14,30,56,121.8,114
1123,6.8,4.05,27,33,40,98.7,164
1124,6.1,5.56,9,28,62,113.7,103
1131,5.9,5.91,5,25,69,113.5,76
1211,7.2,2.74,15,32,53,123.6,106
1212,7,2.75,16,32,53,115.1,102
1213,6.5,3.25,12,24,64,101.2,88
1214,7.2,2.95,17,30,53,102,116
1215,6.5,4.33,14,34,51,98.1,100
1216,6.9,3.35,17,33,50,96.3,110
1221,6,5.15,9,28,63,114.5,102
1222,6.7,3.64,12,25,62,145.3,124
1311,6.3,5.3,13,27,60,114.7,111
1321,6.4,5.14,14,30,56,117.9,119
1322,6,6.22,7,29,64,91.6,67
1331,6.3,5.5,22,35,43,92.5,139
1411,5.8,5.2,22,41,37,55.7,118
1412,6,4.97,23,46,32,61.7,140
1421,6,4.81,28,47,25,50.1,147
1511,6,5.32,7,31,63,65.7,60
1512,6.2,4.73,29,56,16,57.6,146
1521,6,5.58,21,40,39,59.8,114
1522,5.9,5.83,22,53,26,39.7,100
1611,6,3.6,6,32,62,52.2,58
1612,6.5,4.85,12,35,54,64,98
1613,6.3,5.12,12,31,57,58.2,95
1614,6.3,3.63,17,41,42,47.4,96
1615,6.4,3.61,18,34,48,57.4,106
1616,6.4,4.03,32,36,32,56.8,155
1617,6.2,3.78,15,40,44,50.9,92
1621,6.2,4.43,17,38,45,60.4,108
1622,6.5,3.76,29,46,25,57.3,133
1623,6.5,3.24,24,43,33,68.9,122
1711,6.2,3.76,20,50,30,56.7,96
1712,6.2,4.38,24,58,18,38,97
1713,6.2,4.29,21,56,22,31.2,94
1721,5.9,5.37,19,54,27,39.4,92
1722,6.3,3.79,23,56,21,59,109
1723,6.1,4.42,12,60,27,45.8,74
1724,5.9,4.39,9,59,31,29.5,58
1811,6.1,3.98,14,46,40,64.6,75
1812,6.3,4.02,22,43,35,72,114
1813,6.1,4.07,25,52,23,35.3,96
1821,6.3,3.88,40,46,13,54.1,151
1911,6.3,3.62,46,43,10,62.4,195
1912,6,3.91,31,56,13,32.7,115
1921,6.3,4.23,41,46,12,59.3,163
1922,6.4,4.45,34,43,23,52.9,155
2011,6.2,3.71,19,69,12,50.5,103
2012,6,4.65,10,50,40,42,67
2019,,,,,,,
2111,6.1,5.14,20,59,21,41.1,91
2121,6.1,4.75,18,48,33,49.5,98
2122,6.1,5.31,20,58,22,30,69
2211,,,,,,,
2212,,,,,,,
2221,5.9,5.97,20,53,27,45.9,105
2311,,,,,,,
2312,,,,,,,
2319,,,,,,,
2331,5.8,4.89,13,64,24,21.9,60
2411,,,,,,,
2412,,,,,,,
2413,,,,,,,
2414,,,,,,,
2415,,,,,,,
2419,,,,,,,
2511,,,,,,,
2512,,,,,,,
2519,,,,,,,
2521,,,,,,,
