f_species,f_breed,f_prod_system,f_region,x0_animals
cattle,dairy,conventional,111,916.7731250160806
cattle,beef,conventional,111,799.6329380307861
sheep,none,conventional,111,2709.239092869068
pigs,none,conventional,111,224.576197220166
poultry,layer,conventional,111,18356.14135992833
poultry,broiler,conventional,111,0.0
cattle,dairy,conventional,112,952.6916255446984
cattle,beef,conventional,112,902.0634828838052
sheep,none,conventional,112,2902.046434022349
pigs,none,conventional,112,375.56811908894366
poultry,layer,conventional,112,7287.984215228055
poultry,broiler,conventional,112,0.0
cattle,dairy,conventional,311,3243.74628537212
cattle,beef,conventional,311,889.9887334759287
sheep,none,conventional,311,2808.279535380512
pigs,none,conventional,311,384.5414468884578
poultry,layer,conventional,311,8043.611325081218
poultry,broiler,conventional,311,155.47872766724277
cattle,dairy,conventional,312,1789.7750606010084
cattle,beef,conventional,312,720.9502045151662
sheep,none,conventional,312,1544.596140037087
pigs,none,conventional,312,264.2455476878852
poultry,layer,conventional,312,3652.0979450118575
poultry,broiler,conventional,312,0.0
cattle,dairy,conventional,321,758.5035416977453
cattle,beef,conventional,321,730.1852659147921
sheep,none,conventional,321,1544.8970672325431
pigs,none,conventional,321,1130.687972371412
poultry,layer,conventional,321,67140.26505516931
poultry,broiler,conventional,321,4084.023120877219
cattle,dairy,conventional,322,738.6940896001395
cattle,beef,conventional,322,483.5135100709648
sheep,none,conventional,322,960.2908695200332
pigs,none,conventional,322,174.73643633152295
poultry,layer,conventional,322,1279.3764649048087
poultry,broiler,conventional,322,0.0
cattle,dairy,conventional,411,2306.3466600924394
cattle,beef,conventional,411,963.4290549459683
sheep,none,conventional,411,2389.4792376682667
pigs,none,conventional,411,2359.522534417851
poultry,layer,conventional,411,94070.05931382
poultry,broiler,conventional,411,598184.860762461
cattle,dairy,conventional,421,1413.4385250887665
cattle,beef,conventional,421,928.6377971055642
sheep,none,conventional,421,2061.608521710691
pigs,none,conventional,421,312.7645624956709
poultry,layer,conventional,421,78893.19216264249
poultry,broiler,conventional,421,396834.9944869954
cattle,dairy,conventional,422,516.4967849497443
