f_crop,f_prod_system,f_region,x0_crops
Apples,conventional,1011,24.60612869
Apples,conventional,111,0
Apples,conventional,1111,249.0608869
Apples,conventional,1112,123.4264841
Apples,conventional,112,6.059961154
Apples,conventional,1121,85.34188094
Apples,conventional,1122,403.9527906
Apples,conventional,1123,10.86992697
Apples,conventional,1124,21.27557015
Apples,conventional,1131,0
Apples,conventional,1211,15.28807517
Apples,conventional,1212,0.0566282
Apples,conventional,1213,0
Apples,conventional,1214,20.10323125
Apples,conventional,1215,3.977253097
Apples,conventional,1216,63.18755382
Apples,conventional,1221,5.971469209
Apples,conventional,1222,59.49480982
Apples,conventional,1311,0.288747182
Apples,conventional,1321,0.292995061
Apples,conventional,1322,0.837987252
Apples,conventional,1331,9.667952772
Apples,conventional,1411,3.478745513
Apples,conventional,1412,4.642033337
Apples,conventional,1421,0
Apples,conventional,1511,0.185118777
Apples,conventional,1512,0
Apples,conventional,1521,2.265726845
Apples,conventional,1522,0
Apples,conventional,1611,0
Apples,conventional,1612,0
Apples,conventional,1613,7.339822579
Apples,conventional,1614,0
Apples,conventional,1615,0
Apples,conventional,1616,0
Apples,conventional,1617,0
Apples,conventional,1621,1.511842751
Apples,conventional,1622,0
Apples,conventional,1623,11.47323296
Apples,conventional,1711,0
Apples,conventional,1712,0
Apples,conventional,1713,0
Apples,conventional,1721,0
Apples,conventional,1722,0
Apples,conventional,1723,0
Apples,conventional,1724,0
Apples,conventional,1811,0
Apples,conventional,1812,0
Apples,conventional,1813,0
Apples,conventional,1821,0
Apples,conventional,1911,8.817288752
Apples,conventional,1912,0
Apples,conventional,1921,0
Apples,conventional,1922,0
Apples,conventional,2011,0
Apples,conventional,2012,0
Apples,conventional,2019,0
Apples,conventional,2111,0
Apples,conventional,2121,0
Apples,conventional,2122,0
Apples,conventional,2211,0
Apples,conventional,2212,0
Apples,conventional,2221,0
Apples,conventional,2311,0
Apples,conventional,2312,0
Apples,conventional,2319,0
Apples,conventional,2331,0
Apples,conventional,2411,0
Apples,conventional,2412,0
Apples,conventional,2413,0
Apples,conventional,2414,0
Apples,conventional,2415,0
Apples,conventional,2419,0
Apples,conventional,2511,0
Apples,conventional,2512,0
Apples,conventional,2519,0
Apples,conventional,2521,0
Apples,conventional,311,0.810375239
Apples,conventional,312,0
Apples,conventional,321,38.96521663
Apples,conventional,322,0
Apples,conventional,411,0
Apples,conventional,421,0.944992053
Apples,conventional,422,4.200279242
Apples,conventional,431,1.743515165
Apples,conventional,511,0
Apples,conventional,512,0
Apples,conventional,513,0
Apples,conventional,514,0
Apples,conventional,515,4.248995615
Apples,conventional,521,0
Apples,conventional,611,0
Apples,conventional,612,69.64281655
Apples,conventional,621,0.394063841
Apples,conventional,622,1.393944985
Apples,conventional,711,0
Apples,conventional,731,22.6257379
Apples,conventional,811,1.153726497
Apples,conventional,812,3.2753882
Apples,conventional,813,0
Apples,conventional,814,0.352224973
Apples,conventional,821,0.749238445
Apples,conventional,831,0.755152184
Apples,conventional,911,0
Apples,conventional,912,7.0843388
Apples,conventional,913,0
Apples,organic,1011,0.271801199
Apples,organic,111,0
Apples,organic,1111,57.94645435
Apples,organic,1112,28.48857192
Apples,organic,112,0.049243041
Apples,organic,1121,19.85562434
Apples,organic,1122,93.98357258
Apples,organic,1123,2.528994956
Apples,organic,1124,2.51263106
Apples,organic,1131,0
Apples,organic,1211,3.556920403
Apples,organic,1212,0.013175105
Apples,organic,1213,0
Apples,organic,1214,4.67721362
Apples,organic,1215,0.925346882
Apples,organic,1216,14.70120318
Apples,organic,1221,1.389320789
Apples,organic,1222,13.84205013
Apples,organic,1311,0.007045233
Apples,organic,1321,0.00866623
Apples,organic,1322,0.008746042
Apples,organic,1331,0.337879815
Apples,organic,1411,0.268096997
Apples,organic,1412,0.357748272
Apples,organic,1421,0
Apples,organic,1511,0.013740451
Apples,organic,1512,0
Apples,organic,1521,0.159517446
Apples,organic,1522,0
Apples,organic,1611,0
Apples,organic,1612,0
Apples,organic,1613,0.565659196
Apples,organic,1614,0
Apples,organic,1615,0
Apples,organic,1616,0
Apples,organic,1617,0
Apples,organic,1621,0.11651341
Apples,organic,1622,0
Apples,organic,1623,0.884209347
Apples,organic,1711,0
Apples,organic,1712,0
Apples,organic,1713,0
Apples,organic,1721,0
Apples,organic,1722,0
Apples,organic,1723,0
Apples,organic,1724,0
Apples,organic,1811,0
Apples,organic,1812,0
Apples,organic,1813,0
Apples,organic,1821,0
Apples,organic,1911,0.056304147
Apples,organic,1912,0
Apples,organic,1921,0
Apples,organic,1922,0
Apples,organic,2011,0
Apples,organic,2012,0
Apples,organic,2019,0
Apples,organic,2111,0
Apples,organic,2121,0
Apples,organic,2122,0
Apples,organic,2211,0
Apples,organic,2212,0
Apples,organic,2221,0
Apples,organic,2311,0
Apples,organic,2312,0
Apples,organic,2319,0
Apples,organic,2331,0
Apples,organic,2411,0
Apples,organic,2412,0
Apples,organic,2413,0
Apples,organic,2414,0
Apples,organic,2415,0
Apples,organic,2419,0
Apples,organic,2511,0
Apples,organic,2512,0
Apples,organic,2519,0
Apples,organic,2521,0
Apples,organic,311,0.006635344
Apples,organic,312,0
Apples,organic,321,0.315224287
Apples,organic,322,0
Apples,organic,411,0
Apples,organic,421,0.005196796
Apples,organic,422,0.017894634
Apples,organic,431,0.007873512
Apples,organic,511,0
Apples,organic,512,0
Apples,organic,513,0
Apples,organic,514,0
Apples,organic,515,0.032038317
Apples,organic,521,0
Apples,organic,611,0
Apples,organic,612,0.208992759
Apples,organic,621,0.001083334
Apples,organic,622,0.004438624
Apples,organic,711,0
Apples,organic,731,1.531778107
Apples,organic,811,0.022086106
Apples,organic,812,0.063319716
Apples,organic,813,0
Apples,organic,814,0.006745151
Apples,organic,821,0.013017251
Apples,organic,831,0.007614643
Apples,organic,911,0
Apples,organic,912,0.4156612
Apples,organic,913,0
