f_crop,f_prod_system,f_region,yield
Apples,conventional,1011,13240.6402
Apples,conventional,111,4723.912118
Apples,conventional,1111,19828.01892
Apples,conventional,1112,19808.8583
Apples,conventional,112,4587.113078
Apples,conventional,1121,19828.01892
Apples,conventional,1122,19828.01892
Apples,conventional,1123,19828.01892
Apples,conventional,1124,17028.89717
Apples,conventional,1131,13026.29537
Apples,conventional,1211,19828.01892
Apples,conventional,1212,19828.01892
Apples,conventional,1213,18230.27077
Apples,conventional,1214,19828.01892
Apples,conventional,1215,19828.01892
Apples,conventional,1216,19828.01892
Apples,conventional,1221,19828.01892
Apples,conventional,1222,19828.01892
Apples,conventional,1311,4259.327906
Apples,conventional,1321,4401.451974
Apples,conventional,1322,9641.426437
Apples,conventional,1331,4301.952337
Apples,conventional,1411,4280.774271
Apples,conventional,1412,4280.774271
Apples,conventional,1421,4239.038365
Apples,conventional,1511,4332.367243
Apples,conventional,1512,4239.038365
Apples,conventional,1521,4268.511606
Apples,conventional,1522,4239.038365
Apples,conventional,1611,15042.75393
Apples,conventional,1612,4241.149754
Apples,conventional,1613,4280.774271
Apples,conventional,1614,4321.518359
Apples,conventional,1615,4239.038365
Apples,conventional,1616,4239.038365
Apples,conventional,1617,4220.382132
Apples,conventional,1621,4280.774271
Apples,conventional,1622,4239.038365
Apples,conventional,1623,4280.774271
Apples,conventional,1711,3363.183987
Apples,conventional,1712,3390.023682
Apples,conventional,1713,3358.862951
Apples,conventional,1721,4634.186063
Apples,conventional,1722,4126.41849
Apples,conventional,1723,4152.180293
Apples,conventional,1724,3235.485216
Apples,conventional,1811,1626.664608
Apples,conventional,1812,1291.870366
Apples,conventional,1813,1301.241532
Apples,conventional,1821,1333.63703
Apples,conventional,1911,1223.358555
Apples,conventional,1912,1254.986879
Apples,conventional,1921,2805.743924
Apples,conventional,1922,6554.471673
Apples,conventional,2011,1036.923666
Apples,conventional,2012,1035.79172
Apples,conventional,2019,1033.496293
Apples,conventional,2111,5757.712002
Apples,conventional,2121,5790.270558
Apples,conventional,2122,4130.154229
Apples,conventional,2211,5196.589282
Apples,conventional,2212,5206.21025
Apples,conventional,2221,5353.894011
Apples,conventional,2311,1575.603226
Apples,conventional,2312,1570.662015
Apples,conventional,2319,1569.711633
Apples,conventional,2331,2661.863037
Apples,conventional,2411,2703.392257
Apples,conventional,2412,2703.392257
Apples,conventional,2413,2703.392257
Apples,conventional,2414,2708.288321
Apples,conventional,2415,2702.547649
Apples,conventional,2419,2703.392257
Apples,conventional,2511,7818.881045
Apples,conventional,2512,7820.732503
Apples,conventional,2519,7807.931699
Apples,conventional,2521,7263.249522
Apples,conventional,311,6404.046312
Apples,conventional,312,6587.84741
Apples,conventional,321,5985.086014
Apples,conventional,322,6085.359449
Apples,conventional,411,2240.556954
Apples,conventional,421,2527.791177
Apples,conventional,422,2268.443931
Apples,conventional,431,2317.931268
Apples,conventional,511,19520.86113
Apples,conventional,512,19471.92353
Apples,conventional,513,19575.35933
Apples,conventional,514,19575.35933
Apples,conventional,515,19024.16907
Apples,conventional,521,16321.24063
Apples,conventional,611,23800.60131
Apples,conventional,612,23085.51778
Apples,conventional,621,13216.09875
Apples,conventional,622,21126.86835
Apples,conventional,711,5879.909974
Apples,conventional,731,11943.63854
Apples,conventional,811,2174.215112
Apples,conventional,812,2157.259466
Apples,conventional,813,2204.792091
Apples,conventional,814,2171.592288
Apples,conventional,821,7761.302656
Apples,conventional,831,5810.410663
Apples,conventional,911,1762.480285
Apples,conventional,912,1762.480285
Apples,conventional,913,1762.480285
Apples,organic,1011,5497.474029
Apples,organic,111,1961.354118
Apples,organic,1111,8232.533882
Apples,organic,1112,8224.57845
Apples,organic,112,1904.555568
Apples,organic,1121,8232.533882
Apples,organic,1122,8232.533882
Apples,organic,1123,8232.533882
Apples,organic,1124,7070.346942
Apples,organic,1131,5408.478701
Apples,organic,1211,8232.533882
Apples,organic,1212,8232.533882
Apples,organic,1213,7569.15365
Apples,organic,1214,8232.533882
Apples,organic,1215,8232.533882
Apples,organic,1216,8232.533882
Apples,organic,1221,8232.533882
Apples,organic,1222,8232.533882
Apples,organic,1311,1768.460149
Apples,organic,1321,1827.469635
Apples,organic,1322,4003.091289
Apples,organic,1331,1786.157685
Apples,organic,1411,1777.364616
Apples,organic,1412,1777.364616
Apples,organic,1421,1760.035993
Apples,organic,1511,1798.785863
Apples,organic,1512,1760.035993
Apples,organic,1521,1772.273194
Apples,organic,1522,1760.035993
Apples,organic,1611,6245.706234
Apples,organic,1612,1760.912635
Apples,organic,1613,1777.364616
Apples,organic,1614,1794.281439
Apples,organic,1615,1760.035993
Apples,organic,1616,1760.035993
Apples,organic,1617,1752.289981
Apples,organic,1621,1777.364616
Apples,organic,1622,1760.035993
Apples,organic,1623,1777.364616
Apples,organic,1711,1396.383887
Apples,organic,1712,1407.527647
Apples,organic,1713,1394.589805
Apples,organic,1721,1924.10013
Apples,organic,1722,1713.276559
Apples,organic,1723,1723.972782
Apples,organic,1724,1343.36374
Apples,organic,1811,675.3862579
Apples,organic,1812,536.3806944
Apples,organic,1813,540.2715744
Apples,organic,1821,553.7220877
Apples,organic,1911,507.9347962
Apples,organic,1912,521.0667813
Apples,organic,1921,1164.936447
Apples,organic,1922,2721.396945
Apples,organic,2011,430.5275906
Apples,organic,2012,430.05761
Apples,organic,2019,429.1045555
Apples,organic,2111,2390.584724
Apples,organic,2121,2404.102938
Apples,organic,2122,1714.827627
Apples,organic,2211,2157.608257
Apples,organic,2212,2161.602854
Apples,organic,2221,2222.920707
Apples,organic,2311,654.1857255
Apples,organic,2312,652.1341494
Apples,organic,2319,651.7395539
Apples,organic,2331,1105.197535
Apples,organic,2411,1122.440343
Apples,organic,2412,1122.440343
Apples,organic,2413,1122.440343
Apples,organic,2414,1124.473174
Apples,organic,2415,1122.089664
Apples,organic,2419,1122.440343
Apples,organic,2511,3246.375918
Apples,organic,2512,3247.144638
Apples,organic,2519,3241.829782
Apples,organic,2521,3015.679379
Apples,organic,311,2658.940787
Apples,organic,312,2735.254451
Apples,organic,321,2484.989731
Apples,organic,322,2526.622959
Apples,organic,411,930.2725155
Apples,organic,421,1049.531302
Apples,organic,422,941.8511044
Apples,organic,431,962.398098
Apples,organic,511,8105.002888
Apples,organic,512,8084.684145
Apples,organic,513,8127.630377
Apples,organic,514,8127.630377
Apples,organic,515,7898.77784
Apples,organic,521,6776.530072
Apples,organic,611,9881.938155
Apples,organic,612,9585.037623
Apples,organic,621,5487.284494
Apples,organic,622,8771.812263
Apples,organic,711,2441.320955
Apples,organic,731,4958.962836
Apples,organic,811,902.727582
Apples,organic,812,895.6876488
Apples,organic,813,915.4230518
Apples,organic,814,901.6385935
Apples,organic,821,3222.469543
Apples,organic,831,2412.46505
Apples,organic,911,731.7765188
Apples,organic,912,731.7765188
Apples,organic,913,731.7765188
"Barley, spring",conventional,1011,5000.31778
"Barley, spring",conventional,111,3766.705505
"Barley, spring",conventional,1111,5929.437561
"Barley, spring",conventional,1112,5155.435746
"Barley, spring",conventional,112,3496.120247
"Barley, spring",conventional,1121,6965.169241
"Barley, spring",conventional,1122,6004.212336
"Barley, spring",conventional,1123,6214.390081
"Barley, spring",conventional,1124,4211.551817
"Barley, spring",conventional,1131,4149.843366
"Barley, spring",conventional,1211,7718.97981
"Barley, spring",conventional,1212,6504.394952
"Barley, spring",conventional,1213,5546.469456
"Barley, spring",conventional,1214,6894.436346
"Barley, spring",conventional,1215,5770.793781
"Barley, spring",conventional,1216,6559.970798
"Barley, spring",conventional,1221,4755.2715
"Barley, spring",conventional,1222,6463.976155
"Barley, spring",conventional,1311,5302.011882
"Barley, spring",conventional,1321,5423.303566
"Barley, spring",conventional,1322,4409.43253
"Barley, spring",conventional,1331,4713.75159
"Barley, spring",conventional,1411,5228.923543
"Barley, spring",conventional,1412,3756.593006
"Barley, spring",conventional,1421,3998.227224
"Barley, spring",conventional,1511,4047.446548
"Barley, spring",conventional,1512,5765.433419
"Barley, spring",conventional,1521,4608.445445
"Barley, spring",conventional,1522,3878.433989
"Barley, spring",conventional,1611,3928.143628
"Barley, spring",conventional,1612,5364.728808
"Barley, spring",conventional,1613,5337.454167
"Barley, spring",conventional,1614,4835.860072
"Barley, spring",conventional,1615,5589.327124
"Barley, spring",conventional,1616,5143.942017
"Barley, spring",conventional,1617,4219.813865
"Barley, spring",conventional,1621,4783.538436
"Barley, spring",conventional,1622,5879.083412
"Barley, spring",conventional,1623,5840.176207
"Barley, spring",conventional,1711,4371.782595
"Barley, spring",conventional,1712,3579.924723
"Barley, spring",conventional,1713,3983.778895
"Barley, spring",conventional,1721,2844.269238
"Barley, spring",conventional,1722,4571.023222
"Barley, spring",conventional,1723,3041.644378
"Barley, spring",conventional,1724,3020.849236
"Barley, spring",conventional,1811,4706.343958
"Barley, spring",conventional,1812,5388.401024
"Barley, spring",conventional,1813,2949.0612
"Barley, spring",conventional,1821,4237.566876
"Barley, spring",conventional,1911,4751.760025
"Barley, spring",conventional,1912,3269.290041
"Barley, spring",conventional,1921,4568.66053
"Barley, spring",conventional,1922,4146.052315
"Barley, spring",conventional,2011,3831.045424
"Barley, spring",conventional,2012,3724.619242
"Barley, spring",conventional,2019,3734.067782
"Barley, spring",conventional,2111,3498.229415
"Barley, spring",conventional,2121,3658.051012
"Barley, spring",conventional,2122,2144.266018
"Barley, spring",conventional,2211,2210.124858
"Barley, spring",conventional,2212,2413.628499
"Barley, spring",conventional,2221,3372.552289
"Barley, spring",conventional,2311,3585.863333
"Barley, spring",conventional,2312,3126.338554
"Barley, spring",conventional,2319,3153.531332
"Barley, spring",conventional,2331,3515.948545
"Barley, spring",conventional,2411,2761.36237
"Barley, spring",conventional,2412,3070.816502
"Barley, spring",conventional,2413,3301.875587
"Barley, spring",conventional,2414,2906.655736
"Barley, spring",conventional,2415,3092.173465
"Barley, spring",conventional,2419,3055.239446
"Barley, spring",conventional,2511,2378.406258
"Barley, spring",conventional,2512,1944.88236
"Barley, spring",conventional,2519,2287.212346
"Barley, spring",conventional,2521,2369.165023
"Barley, spring",conventional,311,4515.193818
"Barley, spring",conventional,312,3738.231392
"Barley, spring",conventional,321,4953.457367
"Barley, spring",conventional,322,2570.187659
"Barley, spring",conventional,411,4435.689059
"Barley, spring",conventional,421,4238.660531
"Barley, spring",conventional,422,4892.48387
"Barley, spring",conventional,431,3707.248645
"Barley, spring",conventional,511,4346.631998
"Barley, spring",conventional,512,3513.098152
"Barley, spring",conventional,513,6923.250601
"Barley, spring",conventional,514,5472.753503
"Barley, spring",conventional,515,4783.223834
"Barley, spring",conventional,521,3951.485269
"Barley, spring",conventional,611,3836.784142
"Barley, spring",conventional,612,5018.913069
"Barley, spring",conventional,621,4616.872336
"Barley, spring",conventional,622,3768.571017
"Barley, spring",conventional,711,4525.151211
"Barley, spring",conventional,731,4455.256599
