f_feed,f_species,f_animal,feed_par_DM,feed_par_GE,feed_par_DE,feed_par_E,feed_par_fat
"ley silage, 1st cut",,,100,17.3169484,,,
"ley silage, regrowth",,,100,17.150216,,,
other silage,,,100,16.7897644,,,
hay,,,100,17.1602576,,,
maize silage,,,100,17.6573168,,,
grazing,,,100,17.41143707,,,
wheat,,,86,18.2100232,,,
barley,,,86,18.089524,,,
oats,,,86,18.6602216,,,
triticale,,,86,18.2284328,,,
rye,,,86,17.924256,,,
maize,,,86,18.3899352,,,
peas,,,85,18.4782176,,,
broad beans,,,85,18.7372072,,,
rapeseed,,,91,27.903096,,,
linseed,,,91,26.501456,,,
vegetable oils,,,100,39.3296,,,
straw,,,85,16.9276272,,,
soybeans,,,87,22.965976,,,
soybean meal,,,87.5,19.589488,,,
soybean protein concentrate,,,87,20.5605944,,,
rapeseed meal,,,89.5,19.4920008,,,
sunflower seed meal,,,91,19.083224,,,
palm kernel expeller,,,91,19.5815384,,,
luzern meal,,,90,16.9711408,,,
wheat bran,,,87,18.194124,,,
"wheat bran, fine",,,87.8,18.47236,,,
oat hulls,,,87.6,16.941016,,,
oat bran,,,87.6,17.3422616,,,
"wheat distillers grain, dry",,,90,19.6597792,,,
"wheat distillers grain, wet",,,11,18.8602168,,,
barley brewers grain,,,90,19.848896,,,
maize gluten meal,,,88.5,22.9007056,,,
sugar beet molasses,,,75.5,16.1615368,,,
sugar beet pulp,,,89.5,17.334312,,,
whey,,,6.25,16.46404,,,
whey powder,,,97,16.9753248,,,
potatoe protein,,,91,23.055932,,,
fish meal,,,92,22.254696,,,
minerals,,,100,0,,,
"ley silage, 1st cut",cattle,,,,13.35,11.3,20
"ley silage, regrowth",cattle,,,,11.9,10.1,20
other silage,cattle,,,,10.75,8.5,22.5
hay,cattle,,,,11.8,9.1,20
maize silage,cattle,,,,12.3,11,30
grazing,cattle,,,,12.4,9.941666667,20
wheat,cattle,,,,16,14.1,25
barley,cattle,,,,15,13.2,27
oats,cattle,,,,13.3,11.7,61
triticale,cattle,,,,15.8,14,26
rye,cattle,,,,15.8,13.9,20
maize,cattle,,,,14.5,12.8,40
peas,cattle,,,,16,13.8,17
broad beans,cattle,,,,12.6,13.3,14
rapeseed,cattle,,,,22.1,22.1,460
linseed,cattle,,,,20.8,20.1,380
vegetable oils,cattle,,,,36.6,36.6,1000
straw,cattle,,,,7.6,6.6,20
soybeans,cattle,,,,18.4,16.4,180
soybean meal,cattle,,,,17.8,14.6,10
soybean protein concentrate,cattle,,,,,,
rapeseed meal,cattle,,,,14.6,12.2,46
sunflower seed meal,cattle,,,,14.1,11.4,10
palm kernel expeller,cattle,,,,15,13.4,97
luzern meal,cattle,,,,10.7,8.5,27
wheat bran,cattle,,,,12.7,11,45
"wheat bran, fine",cattle,,,,15.62761656,13.3,27
oat hulls,cattle,,,,6.2,5.2,20
oat bran,cattle,,,,8.4,7.2,32
"wheat distillers grain, dry",cattle,,,,15.7,13.3,45
"wheat distillers grain, wet",cattle,,,,,,
barley brewers grain,cattle,,,,13.6,11.6,80
maize gluten meal,cattle,,,,,,
sugar beet molasses,cattle,,,,14.1,12.4,0
sugar beet pulp,cattle,,,,14.7,12.3,32
whey,cattle,,,,15.1,13.6,10
whey powder,cattle,,,,,,
potatoe protein,cattle,,,,19.7,15.5,33
fish meal,cattle,,,,,,
minerals,cattle,,,,0,0,0
"ley silage, 1st cut",sheep,,,,13.35,11.3,20
"ley silage, regrowth",sheep,,,,11.9,10.1,20
other silage,sheep,,,,10.75,8.5,22.5
hay,sheep,,,,11.8,9.1,20
maize silage,sheep,,,,12.3,11,30
grazing,sheep,,,,12.4,9.941666667,20
wheat,sheep,,,,16,14.1,25
barley,sheep,,,,15,13.2,27
oats,sheep,,,,13.3,11.7,61
triticale,sheep,,,,15.8,14,26
rye,sheep,,,,15.8,13.9,20
maize,sheep,,,,14.5,12.8,40
peas,sheep,,,,16,13.8,17
broad beans,sheep,,,,12.6,13.3,14
rapeseed,sheep,,,,22.1,22.1,460
linseed,sheep,,,,20.8,20.1,380
vegetable oils,sheep,,,,36.6,36.6,1000
straw,sheep,,,,7.6,6.6,20
soybeans,sheep,,,,18.4,16.4,180
soybean meal,sheep,,,,17.8,14.6,10
soybean protein concentrate,sheep,,,,,,
rapeseed meal,sheep,,,,14.6,12.2,46
sunflower seed meal,sheep,,,,14.1,11.4,10
palm kernel expeller,sheep,,,,15,13.4,97
luzern meal,sheep,,,,10.7,8.5,27
wheat bran,sheep,,,,12.7,11,45
"wheat bran, fine",sheep,,,,15.62761656,13.3,27
oat hulls,sheep,,,,6.2,5.2,20
oat bran,sheep,,,,8.4,7.2,32
"wheat distillers grain, dry",sheep,,,,15.7,13.3,45
"wheat distillers grain, wet",sheep,,,,,,
barley brewers grain,sheep,,,,13.6,11.6,80
maize gluten meal,sheep,,,,,,
sugar beet molasses,sheep,,,,14.1,12.4,0
sugar beet pulp,sheep,,,,14.7,12.3,32
whey,sheep,,,,15.1,13.6,10
whey powder,sheep,,,,,,
potatoe protein,sheep,,,,19.7,15.5,33
fish meal,sheep,,,,,,
minerals,sheep,,,,0,0,0
"ley silage, 1st cut",horses,,,,13.35,11.3,20
"ley silage, regrowth",horses,,,,11.9,10.1,20
other silage,horses,,,,10.75,8.5,22.5
