f_feed,f_species,f_animal,feed_par_DE,feed_par_E,feed_par_fat
"ley silage, 1st cut",sheep,,13.35,11.3,20
"ley silage, regrowth",sheep,,11.9,10.1,20
other silage,sheep,,10.75,8.5,22.5
hay,sheep,,11.8,9.1,20
maize silage,sheep,,12.3,11,30
grazing,sheep,,12.4,9.941666667,20
wheat,sheep,,16,14.1,25
barley,sheep,,15,13.2,27
oats,sheep,,13.3,11.7,61
triticale,sheep,,15.8,14,26
rye,sheep,,15.8,13.9,20
maize,sheep,,14.5,12.8,40
peas,sheep,,16,13.8,17
broad beans,sheep,,12.6,13.3,14
rapeseed,sheep,,22.1,22.1,460
linseed,sheep,,20.8,20.1,380
vegetable oils,sheep,,36.6,36.6,1000
straw,sheep,,7.6,6.6,20
soybeans,sheep,,18.4,16.4,180
soybean meal,sheep,,17.8,14.6,10
soybean protein concentrate,sheep,,,,
rapeseed meal,sheep,,14.6,12.2,46
sunflower seed meal,sheep,,14.1,11.4,10
palm kernel expeller,sheep,,15,13.4,97
luzern meal,sheep,,10.7,8.5,27
wheat bran,sheep,,12.7,11,45
"wheat bran, fine",sheep,,15.62761656,13.3,27
oat hulls,sheep,,6.2,5.2,20
oat bran,sheep,,8.4,7.2,32
"wheat distillers grain, dry",sheep,,15.7,13.3,45
"wheat distillers grain, wet",sheep,,,,
barley brewers grain,sheep,,13.6,11.6,80
maize gluten meal,sheep,,,,
sugar beet molasses,sheep,,14.1,12.4,0
sugar beet pulp,sheep,,14.7,12.3,32
whey,sheep,,15.1,13.6,10
whey powder,sheep,,,,
potatoe protein,sheep,,19.7,15.5,33
fish meal,sheep,,,,
minerals,sheep,,0,0,0
