f_region,f_land_use,share_org_soil
111,cropland,9.122401542781631
111,semi-natural grasslands,11.622578133042746
321,cropland,10.379560350111674
321,semi-natural grasslands,9.492846426250596
112,cropland,8.822378667576311
112,semi-natural grasslands,12.3300563997707
312,cropland,11.059135887483274
312,semi-natural grasslands,8.229709910301166
322,cropland,10.204673747932667
322,semi-natural grasslands,9.741697982589402
431,cropland,6.033367888431337
431,semi-natural grasslands,23.891602740870347
311,cropland,11.068864219005858
311,semi-natural grasslands,8.200204244578936
421,cropland,6.8828209895698595
421,semi-natural grasslands,20.73828135529056
1911,cropland,5.929042829664542
1911,semi-natural grasslands,5.002384124462962
1921,cropland,7.172640329628951
1921,semi-natural grasslands,6.046387261142915
1922,cropland,10.904221657016338
1922,semi-natural grasslands,8.08494620777837
2121,cropland,3.8539905517367736
2121,semi-natural grasslands,11.229104490527954
411,cropland,5.601527250775948
411,semi-natural grasslands,26.2
422,cropland,5.6
422,semi-natural grasslands,22.64563748809804
521,cropland,6.812275845381527
521,semi-natural grasslands,21.218605912003717
1811,cropland,9.510197449871244
1811,semi-natural grasslands,25.058616991727497
511,cropland,7.2834134296083635
511,semi-natural grasslands,18.984486124333984
513,cropland,7.1
513,semi-natural grasslands,19.7
514,cropland,7.1
514,semi-natural grasslands,19.7
512,cropland,7.154951676149404
512,semi-natural grasslands,19.528025223797968
515,cropland,7.1
515,semi-natural grasslands,19.7
821,cropland,9.461556862758606
821,semi-natural grasslands,6.433828194467352
612,cropland,7.494413306587687
612,semi-natural grasslands,3.924872712693327
814,cropland,9.964827446226948
814,semi-natural grasslands,5.286740751473957
622,cropland,10.179318953892851
622,semi-natural grasslands,5.6653402479581
611,cropland,7.478962182130131
611,semi-natural grasslands,3.7264808683869184
1322,cropland,6.503060624714385
1322,semi-natural grasslands,3.3537743102945736
1511,cropland,3.6902417162583347
1511,semi-natural grasslands,5.761778211826357
621,cropland,17.20530293250365
621,semi-natural grasslands,9.474494310563882
1611,cropland,5.953694861746058
1611,semi-natural grasslands,4.771907614450614
1614,cropland,3.8116417234084405
1614,semi-natural grasslands,5.684743390132636
1612,cropland,3.613761489050419
1612,semi-natural grasslands,5.9
831,cropland,14.866542699748917
831,semi-natural grasslands,10.33014416376511
711,cropland,24.4
711,semi-natural grasslands,16.2
731,cropland,12.396526879930263
731,semi-natural grasslands,12.903666638842822
1131,cropland,10.037222463703124
1131,semi-natural grasslands,10.139915788317438
812,cropland,10.0
812,semi-natural grasslands,5.1
813,cropland,10.0
813,semi-natural grasslands,5.1
811,cropland,9.828653212938585
811,semi-natural grasslands,5.112939083942831
1011,cropland,4.302154981823233
1011,semi-natural grasslands,8.523943118417018
911,cropland,15.5
911,semi-natural grasslands,2.2
912,cropland,15.5
912,semi-natural grasslands,2.2
913,cropland,15.5
913,semi-natural grasslands,2.2
1112,cropland,3.004296517973838
1112,semi-natural grasslands,11.365344002135704
1123,cropland,3.0
1123,semi-natural grasslands,11.4
1124,cropland,3.7644866718784336
1124,semi-natural grasslands,6.338691259776241
1215,cropland,3.0
1215,semi-natural grasslands,11.4
1216,cropland,3.0
1216,semi-natural grasslands,11.4
1214,cropland,3.0
1214,semi-natural grasslands,11.4
1222,cropland,3.0
1222,semi-natural grasslands,11.4
1321,cropland,4.549571504497795
1321,semi-natural grasslands,2.9406170846018744
1213,cropland,3.0
1213,semi-natural grasslands,11.4
1111,cropland,3.0
1111,semi-natural grasslands,11.4
1121,cropland,3.0
1121,semi-natural grasslands,11.4
1221,cropland,3.0
1221,semi-natural grasslands,11.4
1211,cropland,3.0
1211,semi-natural grasslands,11.4
