f_region,GDD5
111,1702
112,1646
311,1617
312,1605
321,1669
322,1602
411,1678
421,1727
422,1678
431,1673
511,1565
512,1649
513,1579
514,1640
515,1717
521,1638
611,1495
612,1508
621,1587
622,1546
711,1605
731,1662
811,1793
812,1799
813,1726
814,1702
821,1734
831,1660
911,1813
912,1779
913,1783
1011,1781
1111,1770
1112,1739
1121,1813
1122,1771
1123,1818
1124,1746
1131,1670
1211,1874
1212,1838
1213,1822
1214,1849
1215,1756
1216,1818
1221,1721
1222,1833
1311,1747
1321,1755
1322,1631
1331,1743
1411,1714
1412,1707
1421,1721
1511,1545
1512,1635
1521,1676
1522,1620
1611,1475
1612,1487
1613,1520
1614,1532
1615,1569
1616,1564
1617,1537
1621,1626
1622,1615
1623,1611
1711,1525
1712,1499
1713,1437
1721,1525
1722,1577
1723,1366
1724,1185
1811,1540
1812,1591
1813,1470
1821,1597
1911,1640
1912,1531
1921,1602
1922,1574
2011,1417
2012,1212
2019,881
2111,1302
2121,1457
2122,1357
2211,1136
2212,1225
2221,1220
2311,1016
2312,1054
2319,767
2331,1072
2411,1198
2412,1207
2413,1145
2414,1096
2415,980
2419,649
2511,1092
2512,1074
2519,628
2521,945
