CPC,crop,crop_group,jacobs,andren2004,hanna
1341,Apples,Fruit trees,missing,Missing,missing
0115.S,"Barley, spring","Cereals, spring",spring_barley,Spring_cereals,missing
0115.W,"Barley, winter","Cereals, winter",winter_barley,Winter_cereals,missing
1701,"Beans, dry",Grain legumes,missing,Missing,common_bean
1702,"Broad beans and horse beans, dry",Grain legumes,missing,Missing,broad_bean_and_lupin
0121.C,"Cabbages, cauliflowers and broccoli",Vegetables,green_cabbage,Missing,missing
1251,Carrots,Vegetables,carrot,Root_crops,missing
01919.C,Cereals for fodder,Fodder crops,Other spring cereals,Spring_cereals,missing
1232,Cucumbers,Vegetables,cucumber,Missing,missing
01232.GH,"Cucumbers, greenhouse","Vegetables, greenhouse",missing,Missing,missing
1351,Currants,Berries,missing,Missing,missing
0199.EG,Energy grass,Energy crops,grass_without_legumes-whole_plant,Ley,missing
01919.FAL,Fallow,Fallow,fallow,Fallow,missing
01919.GM,Green manure,Green manure,grass_with_legumes-whole_plant,Green_fallow,missing
0121.H,Herbs,Vegetables,missing,Missing,missing
0121.H.GH,"Herbs, greenhouse","Vegetables, greenhouse",missing,Missing,missing
0121.L,Lettuce and spinach,Vegetables,missing,Missing,missing
01214.GH,"Lettuce, greenhouse","Vegetables, greenhouse",missing,Missing,missing
01919.L.F,Ley for fodder,Ley,grass_with_legumes-whole_plant,Ley,missing
01919.L.G,Ley for grazing,Ley,grass_with_legumes-whole_plant,Ley,missing
01919.L.S,Ley for seed,Ley,grass_without_legumes-seeds,Seed_ley,missing
01919.L.NH,Ley not harvested,Ley,grass_with_legumes-whole_plant,Ley,missing
112,Maize (corn),"Cereals, spring",corn-sweet_corn,Missing,missing
1911,Maize for forage and silage,Fodder crops,cereal_silage-whole_plant,Missing,missing
1199.02,Mixed cereals,"Cereals, spring",other_spring_cereals,Spring_cereals,missing
117,Oats,"Cereals, spring",oat,Spring_cereals,missing
1253,Onions,Vegetables,onion,Missing,missing
0135.O,Other berries,Berries,missing,Missing,missing
0135.O.GH,"Other berries, greenhouse","Berries, greenhouse",missing,Missing,missing
01919.O,Other crops for fodder,Fodder crops,clover-whole_plant,Missing,missing
0134.O,Other fruit,Fruit trees,missing,Missing,missing
1259,Other root vegetables,Vegetables,beetroot,Root_crops,missing
012.O,Other vegetables,Vegetables,missing,Missing,missing
012.O.GH,"Other vegetables, greenhouse","Vegetables, greenhouse",missing,Missing,missing
1342,Pears,Fruit trees,missing,Missing,missing
1705,"Peas, dry",Grain legumes,missing,Missing,dry_peas
1242,"Peas, green",Grain legumes,missing,Missing,green_peas
01510.S,"Potatoes, starch",Potatoes,potatoes,Root_crops,missing
01510.T,"Potatoes, table",Potatoes,potatoes,Root_crops,missing
1235,Pumpkins and squash,Vegetables,pumpkin,Missing,missing
01443.S,"Rapeseed, spring",Brassicaceae,oilseed_rape,Spring_oilseed,missing
01443.W,"Rapeseed, winter",Brassicaceae,oilseed_rape,Winter_oilseed,missing
116,Rye,"Cereals, winter",winter_rye,Winter_cereals,missing
01919.SNG.F,Semi-natural meadows,Semi-natural grasslands,missing,Missing,semi-natural_grasslands
01919.SNG.G,Semi-natural pastures,Semi-natural grasslands,missing,Missing,semi-natural_grasslands
0199.SRC,Short rotation coppice,Energy crops,missing,Missing,missing
1354,Strawberries,Berries,strawberries,Missing,missing
01354.GH,"Strawberries, greenhouse","Berries, greenhouse",missing,Missing,missing
1801,Sugar beet,Beets,sugar_beet,Root_crops,missing
01234.GH,"Tomatoes, greenhouse","Vegetables, greenhouse",missing,Missing,missing
01191.S,"Triticale, spring","Cereals, spring",other_spring_cereals,Spring_cereals,missing
01191.W,"Triticale, winter","Cereals, winter",winter_triticale,Winter_cereals,missing
0111.S,"Wheat, spring","Cereals, spring",other_spring_cereals,Spring_cereals,missing
0111.W,"Wheat, winter","Cereals, winter",winter_wheat,Winter_cereals,missing
,Quinoa,"Cereals, spring",spring_barley,Spring_cereals,missing
,Sweet lupin,Grain legumes,missing,Missing,dry_peas
,Grey pea,Grain legumes,missing,Missing,dry_peas
,Sunflower seeds,Brassicaceae,oilseed_rape,Spring_oilseed,missing
,"Lentils, dry",Grain legumes,missing,Missing,common_bean
,,,asparagus,,
,,,beetroot,,
,,,broccoli,,
,,,cauliflower,,
,,,celeriac,,
,,,clover-seeds,,
,,,fodder_and_vegetable_legumes-grains,,
,,,fodder_beet,,
,,,fodder_legumes-whole_plant,,
,,,hemp,,
,,,herbs,,
,,,linseed,,
,,,other_winter_cereals,,
,,,radish,,
,,,red_cabbage,,
,,,salad,,
,,,silage_maize-sorghum,,
,,,small_radish,,
,,,spinach,,
,,,sunflower-‘other’_oil_crops,,
,,,tobacco,,
,,,white_cabbage_&_‘other_vegetables’,,
