region,animal,prod_system,number
111,kor för mjölkproduktion,conventional,916.7731250160806
111,kor för uppfödning av kalvar,conventional,799.6329380307861
111,"kvigor, tjurar och stutar",conventional,1552.2441373939555
111,"kalvar, under 1 år",conventional,1368.7161305173731
111,baggar och tackor,conventional,2709.239092869068
111,lamm,conventional,2752.488579324725
111,galtar för avel,conventional,5.17411628752688
111,suggor för avel,conventional,224.57619722016602
111,"slaktgrisar, 20 kg och däröver",conventional,1252.1392971362836
111,"smågrisar, under 20 kg",conventional,880.4120838347237
111,höns,conventional,18356.141359928326
111,värpkycklingar,conventional,0.0
111,slaktkycklingar,conventional,0.0
111,kalkoner,conventional,0.0
111,hästar,conventional,15812.022016916044
112,kor för mjölkproduktion,conventional,952.6916255446984
112,kor för uppfödning av kalvar,conventional,902.0634828838051
112,"kvigor, tjurar och stutar",conventional,2063.6009808108283
112,"kalvar, under 1 år",conventional,1836.59596801321
112,baggar och tackor,conventional,2902.046434022349
112,lamm,conventional,2943.8047693857907
112,galtar för avel,conventional,8.318683169936683
112,suggor för avel,conventional,375.56811908894366
112,"slaktgrisar, 20 kg och däröver",conventional,5527.798422388608
112,"smågrisar, under 20 kg",conventional,429.8702323101503
112,höns,conventional,7287.984215228055
112,värpkycklingar,conventional,115.67893089398058
112,slaktkycklingar,conventional,0.0
112,kalkoner,conventional,0.0
112,hästar,conventional,8014.098382212792
311,kor för mjölkproduktion,conventional,3243.74628537212
311,kor för uppfödning av kalvar,conventional,889.9887334759287
311,"kvigor, tjurar och stutar",conventional,3639.0003144869474
311,"kalvar, under 1 år",conventional,3395.496888806727
311,baggar och tackor,conventional,2808.2795353805122
311,lamm,conventional,2712.373327695327
311,galtar för avel,conventional,8.223155119369288
311,suggor för avel,conventional,384.5414468884578
311,"slaktgrisar, 20 kg och däröver",conventional,1255.496673533903
311,"smågrisar, under 20 kg",conventional,527.4500732598464
311,höns,conventional,8043.611325081218
311,värpkycklingar,conventional,31582.135024259354
311,slaktkycklingar,conventional,155.47872766724277
311,kalkoner,conventional,0.0
311,hästar,conventional,4382.840648905392
312,kor för mjölkproduktion,conventional,1789.7750606010084
312,kor för uppfödning av kalvar,conventional,720.9502045151662
312,"kvigor, tjurar och stutar",conventional,2604.247067274843
312,"kalvar, under 1 år",conventional,2275.4414070199464
312,baggar och tackor,conventional,1544.596140037087
312,lamm,conventional,1466.6437011870853
312,galtar för avel,conventional,4.991857602313999
312,suggor för avel,conventional,264.24554768788516
312,"slaktgrisar, 20 kg och däröver",conventional,626.4765406979631
312,"smågrisar, under 20 kg",conventional,557.2162499632342
312,höns,conventional,3652.0979450118575
312,värpkycklingar,conventional,8482.381353693358
312,slaktkycklingar,conventional,0.0
312,kalkoner,conventional,0.0
312,hästar,conventional,1788.5469842314376
321,kor för mjölkproduktion,conventional,758.5035416977453
321,kor för uppfödning av kalvar,conventional,730.1852659147921
321,"kvigor, tjurar och stutar",conventional,1497.7449101437296
321,"kalvar, under 1 år",conventional,2157.3772717670604
321,baggar och tackor,conventional,1544.8970672325431
321,lamm,conventional,1273.984200296911
321,galtar för avel,conventional,16.66617236886884
321,suggor för avel,conventional,1130.687972371412
321,"slaktgrisar, 20 kg och däröver",conventional,6643.332091686895
321,"smågrisar, under 20 kg",conventional,2199.2244839788145
321,höns,conventional,67140.26505516931
321,värpkycklingar,conventional,0.0
321,slaktkycklingar,conventional,4084.023120877219
321,kalkoner,conventional,0.0
321,hästar,conventional,8156.438322451282
322,kor för mjölkproduktion,conventional,738.6940896001395
322,kor för uppfödning av kalvar,conventional,483.51351007096474
322,"kvigor, tjurar och stutar",conventional,1423.1974957211319
322,"kalvar, under 1 år",conventional,1213.0365460830749
322,baggar och tackor,conventional,960.2908695200331
322,lamm,conventional,940.5524233058787
322,galtar för avel,conventional,3.1687292872916
