f_crop,f_prod_system,f_region,yield
Ley for fodder,conventional,A,6056.44117
Ley for fodder,conventional,B,4014.040261
Ley for fodder,conventional,C,7113.644084
Ley for grazing,conventional,A,4845.152936
Ley for grazing,conventional,B,3211.232209
Ley for grazing,conventional,C,5690.915268
"Rapeseed, spring",conventional,A,1980.637094
"Rapeseed, spring",conventional,B,1679.671907
"Rapeseed, spring",conventional,C,1764.700471
"Rapeseed, winter",conventional,A,3732.13186
"Rapeseed, winter",conventional,B,2642.603009
"Rapeseed, winter",conventional,C,3630.145867
"Wheat, spring",conventional,A,6580.801319
"Wheat, spring",conventional,B,4363.296312
"Wheat, spring",conventional,C,5731.101408
"Wheat, winter",conventional,A,7461.057983
"Wheat, winter",conventional,B,5539.594711
"Wheat, winter",conventional,C,7638.601783
Semi-natural pastures,conventional,A,3876.122349
Semi-natural pastures,conventional,B,2568.985767
Semi-natural pastures,conventional,C,4552.732214
